appid,name,genres,steamspy_tags,steamspy_tags_weighted
503560,911 Operator,"Casual, Indie, Simulation, Strategy",Simulation;Strategy;Management;Singleplayer;Indie;Casual;Realistic;Crime;Choices Matter;Education;Tactical;Real Time Tactics;2D;Atmospheric;Addictive;Modern;Minimalist;Moddable;Mature;Drama,"{""Simulation"": 325, ""Strategy"": 289, ""Management"": 230, ""Singleplayer"": 179, ""Indie"": 165, ""Casual"": 152, ""Realistic"": 116, ""Crime"": 101, ""Choices Matter"": 100, ""Education"": 81, ""Tactical"": 78, ""Real Time Tactics"": 78, ""2D"": 74, ""Atmospheric"": 63, ""Addictive"": 62, ""Modern"": 61, ""Minimalist"": 58, ""Moddable"": 53, ""Mature"": 50, ""Drama"": 49}"
520440,GUILTY GEAR Xrd REV 2,Action,Fighting;Anime;2D Fighter;Great Soundtrack;Action;Multiplayer;2.5D;Local Multiplayer;Difficult;Arcade;Story Rich;Controller;Competitive;e-sports;Singleplayer;Tutorial;2D;Cute;Nudity;PvP,"{""Fighting"": 218, ""Anime"": 168, ""2D Fighter"": 152, ""Great Soundtrack"": 118, ""Action"": 105, ""Multiplayer"": 81, ""2.5D"": 62, ""Local Multiplayer"": 57, ""Difficult"": 50, ""Arcade"": 49, ""Story Rich"": 48, ""Controller"": 47, ""Competitive"": 45, ""e-sports"": 38, ""Singleplayer"": 33, ""Tutorial"": 28, ""2D"": 27, ""Cute"": 17, ""Nudity"": 5, ""PvP"": 5}"
563560,Alien Swarm: Reactive Drop,"Action, Free To Play",Twin Stick Shooter;PvE;Top-Down Shooter;Co-op;Class-Based;Third-Person Shooter;Aliens;Level Editor;Hacking;PvP;Moddable;Third Person;Shooter;Top-Down;First-Person;Procedural Generation;Sci-fi;Zombies;Combat;LGBTQ+,"{""Twin Stick Shooter"": 1055, ""PvE"": 1041, ""Top-Down Shooter"": 1033, ""Co-op"": 1031, ""Class-Based"": 1014, ""Third-Person Shooter"": 1013, ""Aliens"": 1001, ""Level Editor"": 997, ""Hacking"": 991, ""PvP"": 991, ""Moddable"": 982, ""Third Person"": 981, ""Shooter"": 979, ""Top-Down"": 969, ""First-Person"": 965, ""Procedural Generation"": 959, ""Sci-fi"": 957, ""Zombies"": 946, ""Combat"": 942, ""LGBTQ+"": 931}"
674940,Stick Fight: The Game,"Action, Casual, Indie",Multiplayer;Funny;Fighting;Local Multiplayer;Action;2D Fighter;4 Player Local;PvP;2D;Casual;Physics;Online Co-Op;Local Co-Op;Indie;Shooter;Controller;Co-op;Great Soundtrack;Split Screen;Strategy,"{""Multiplayer"": 1112, ""Funny"": 911, ""Fighting"": 729, ""Local Multiplayer"": 587, ""Action"": 583, ""2D Fighter"": 528, ""4 Player Local"": 522, ""PvP"": 486, ""2D"": 421, ""Casual"": 373, ""Physics"": 371, ""Online Co-Op"": 348, ""Local Co-Op"": 341, ""Indie"": 319, ""Shooter"": 317, ""Controller"": 276, ""Co-op"": 263, ""Great Soundtrack"": 205, ""Split Screen"": 201, ""Strategy"": 164}"
774361,Blasphemous,"Action, Adventure, Indie",Metroidvania;Pixel Graphics;Souls-like;Dark Fantasy;Gore;2D;Violent;Action;Indie;Difficult;Platformer;Singleplayer;Blood;Adventure;Gothic;Horror;Lore-Rich;Great Soundtrack;Side Scroller;Nudity,"{""Metroidvania"": 715, ""Pixel Graphics"": 581, ""Souls-like"": 579, ""Dark Fantasy"": 469, ""Gore"": 449, ""2D"": 405, ""Violent"": 370, ""Action"": 309, ""Indie"": 306, ""Difficult"": 300, ""Platformer"": 280, ""Singleplayer"": 237, ""Blood"": 230, ""Adventure"": 229, ""Gothic"": 207, ""Horror"": 205, ""Lore-Rich"": 197, ""Great Soundtrack"": 176, ""Side Scroller"": 171, ""Nudity"": 144}"
788770,Meteor 60 Seconds!,"Action, Casual, Free To Play, Indie, Simulation",Free to Play;Funny;Indie;Multiple Endings;Casual;Simulation;Action;Singleplayer;2D;Sexual Content;Nudity;Story Rich;Retro;Comic Book;Cute;Short;Psychological Horror;Anime;Memes;Violent,"{""Free to Play"": 169, ""Funny"": 98, ""Indie"": 77, ""Multiple Endings"": 75, ""Casual"": 68, ""Simulation"": 68, ""Action"": 60, ""Singleplayer"": 60, ""2D"": 59, ""Sexual Content"": 42, ""Nudity"": 32, ""Story Rich"": 31, ""Retro"": 29, ""Comic Book"": 28, ""Cute"": 27, ""Short"": 16, ""Psychological Horror"": 14, ""Anime"": 9, ""Memes"": 9, ""Violent"": 8}"
862740,OneShift,"Action, Adventure, Casual, Indie",Casual;Indie;Action;Adventure;Puzzle;Sci-fi;Puzzle-Platformer;Atmospheric;Stylized;Physics;Family Friendly;Great Soundtrack;Simulation;Singleplayer;Relaxing;Replay Value;Isometric;Fantasy;Space;Difficult,"{""Casual"": 46, ""Indie"": 36, ""Action"": 34, ""Adventure"": 31, ""Puzzle"": 29, ""Sci-fi"": 26, ""Puzzle-Platformer"": 26, ""Atmospheric"": 25, ""Stylized"": 25, ""Physics"": 24, ""Family Friendly"": 23, ""Great Soundtrack"": 22, ""Simulation"": 22, ""Singleplayer"": 15, ""Relaxing"": 14, ""Replay Value"": 14, ""Isometric"": 14, ""Fantasy"": 13, ""Space"": 13, ""Difficult"": 13}"
897630,Death Fungeon,"Adventure, Indie",Indie;Adventure;Pixel Graphics;Difficult;Puzzle-Platformer;2D;Retro;Puzzle;Singleplayer;Casual;Arcade;Atmospheric;Stylized;Replay Value;Platformer;Stealth;Exploration;Controller;Cute;Parkour,"{""Indie"": 145, ""Adventure"": 137, ""Pixel Graphics"": 135, ""Difficult"": 130, ""Puzzle-Platformer"": 125, ""2D"": 119, ""Retro"": 116, ""Puzzle"": 113, ""Singleplayer"": 108, ""Casual"": 102, ""Arcade"": 98, ""Atmospheric"": 94, ""Stylized"": 88, ""Replay Value"": 79, ""Platformer"": 72, ""Stealth"": 67, ""Exploration"": 65, ""Controller"": 61, ""Cute"": 51, ""Parkour"": 46}"
909080,Cube Escape: Paradox,"Adventure, Free To Play, Indie",Puzzle;Free to Play;Psychological Horror;Point & Click;Mystery;Singleplayer;Escape Room;Indie;Horror;Multiplayer;Adventure;Atmospheric;Story Rich;2D;Detective;Dark;Surreal;Great Soundtrack;Co-op;Hand-drawn,"{""Puzzle"": 400, ""Free to Play"": 254, ""Psychological Horror"": 178, ""Point & Click"": 170, ""Mystery"": 141, ""Singleplayer"": 129, ""Escape Room"": 126, ""Indie"": 122, ""Horror"": 120, ""Multiplayer"": 109, ""Adventure"": 107, ""Atmospheric"": 87, ""Story Rich"": 73, ""2D"": 64, ""Detective"": 61, ""Dark"": 44, ""Surreal"": 40, ""Great Soundtrack"": 38, ""Co-op"": 29, ""Hand-drawn"": 16}"
965200,Walking Zombie 2,"Action, Adventure, Indie, RPG",FPS;Zombies;Open World Survival Craft;Multiplayer;Shooter;Open World;Survival;Sandbox;Post-apocalyptic;First-Person;Action RPG;RPG;Dark Humor;Story Rich;Gun Customization;Action;Pixel Graphics;Stylized;Crafting;Adventure,"{""FPS"": 466, ""Zombies"": 440, ""Open World Survival Craft"": 430, ""Multiplayer"": 427, ""Shooter"": 417, ""Open World"": 412, ""Survival"": 409, ""Sandbox"": 372, ""Post-apocalyptic"": 372, ""First-Person"": 352, ""Action RPG"": 341, ""RPG"": 336, ""Dark Humor"": 308, ""Story Rich"": 305, ""Gun Customization"": 296, ""Action"": 295, ""Pixel Graphics"": 291, ""Stylized"": 266, ""Crafting"": 258, ""Adventure"": 254}"
977400,Cell to Singularity - Evolution Never Ends,"Casual, Simulation, Free To Play",Clicker;Free to Play;Simulation;Science;Idler;Casual;Historical;Singleplayer;Dinosaurs;Space;Education;Early Access;God Game;Sci-fi;Sandbox;Point & Click;Multiplayer;Atmospheric;Family Friendly;Strategy,"{""Clicker"": 241, ""Free to Play"": 222, ""Simulation"": 166, ""Science"": 164, ""Idler"": 124, ""Casual"": 124, ""Historical"": 92, ""Singleplayer"": 74, ""Dinosaurs"": 72, ""Space"": 69, ""Education"": 67, ""Early Access"": 48, ""God Game"": 45, ""Sci-fi"": 36, ""Sandbox"": 33, ""Point & Click"": 27, ""Multiplayer"": 16, ""Atmospheric"": 8, ""Family Friendly"": 8, ""Strategy"": 8}"
1030300,Hollow Knight: Silksong,"Action, Adventure, Indie",,{}
1071870,Biped,"Action, Adventure, Casual, Indie, Simulation",Character Customization;Emotional;Co-op;PvE;Action;Multiplayer;Relaxing;Casual;Nature;Funny;Local Multiplayer;Indie;Open World;Physics;Level Editor;Action-Adventure;Parkour;Cute;Family Friendly;Split Screen,"{""Character Customization"": 1829, ""Emotional"": 1824, ""Co-op"": 1818, ""PvE"": 1810, ""Action"": 1657, ""Multiplayer"": 1586, ""Relaxing"": 1543, ""Casual"": 1504, ""Nature"": 1451, ""Funny"": 1419, ""Local Multiplayer"": 1409, ""Indie"": 1395, ""Open World"": 1387, ""Physics"": 1373, ""Level Editor"": 1366, ""Action-Adventure"": 1363, ""Parkour"": 1345, ""Cute"": 1333, ""Family Friendly"": 1327, ""Split Screen"": 1271}"
